Duration,Total_Stops,Additional_Info,Price,Date,Month,Year,Arrival_hour,Arrival_min,Departure_hour,Departure_min,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi
1595,2,no_info,14011,3,3,2019,19,15,16,40,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
270,1,no_info,5830,15,4,2019,13,15,8,45,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
1355,1,other,10262,12,6,2019,12,35,14,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1380,2,no_info,13381,12,6,2019,19,15,20,15,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1235,1,other,12898,27,5,2019,12,35,16,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
310,1,no_info,19495,6,3,2019,19,20,14,10,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
920,1,no_info,6955,21,3,2019,13,20,22,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
170,0,no_info,3943,3,4,2019,6,50,4,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
175,0,no_info,4823,1,5,2019,21,50,18,55,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
800,1,other,7757,6,5,2019,8,15,18,55,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
910,2,no_info,13292,9,6,2019,12,35,21,25,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
345,1,no_info,8238,1,6,2019,3,35,21,50,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
355,1,no_info,7682,15,5,2019,12,55,7,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
170,0,no_info,4668,18,6,2019,12,35,9,45,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
135,0,no_info,3687,15,6,2019,9,20,7,5,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
135,0,no_info,3687,18,6,2019,9,20,7,5,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
805,2,no_info,13227,1,5,2019,23,15,9,50,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
170,0,no_info,4423,6,4,2019,6,50,4,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1320,2,other,10919,15,6,2019,12,35,14,35,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
330,1,other,12373,18,5,2019,12,35,7,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
625,1,no_info,5894,27,6,2019,21,0,10,35,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
315,1,no_info,4649,21,5,2019,20,20,15,5,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
150,0,no_info,6245,18,5,2019,16,45,14,15,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
375,1,no_info,19225,6,3,2019,13,15,7,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
715,1,no_info,14924,3,6,2019,19,0,7,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
665,1,no_info,9646,21,5,2019,18,10,7,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
510,1,no_info,8714,15,3,2019,15,15,6,45,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1325,1,other,12373,18,5,2019,19,0,20,55,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
165,0,no_info,3383,6,5,2019,13,55,11,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
720,1,no_info,13062,21,3,2019,21,0,9,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
170,0,other,3527,24,3,2019,8,35,5,45,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
170,0,no_info,3943,27,5,2019,6,50,4,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
135,0,no_info,4667,3,5,2019,13,55,11,40,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
965,1,no_info,6117,15,5,2019,11,5,19,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1195,2,other,11150,27,6,2019,19,0,23,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
195,0,other,7202,9,3,2019,14,15,11,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1520,1,no_info,12121,1,5,2019,10,55,9,35,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
170,0,no_info,4377,24,3,2019,1,10,22,20,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
180,0,no_info,3943,18,6,2019,0,15,21,15,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
170,0,no_info,4483,3,4,2019,2,45,23,55,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
975,1,no_info,14231,24,3,2019,12,0,19,45,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
905,2,no_info,17345,1,3,2019,23,55,8,50,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
135,0,no_info,7414,6,3,2019,9,20,7,5,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
390,1,no_info,8073,6,5,2019,1,30,19,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1505,1,no_info,12395,6,3,2019,16,45,15,40,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
745,1,no_info,8366,6,6,2019,21,50,9,25,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1640,1,no_info,5117,3,4,2019,9,25,6,5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
615,1,no_info,12524,3,6,2019,19,0,8,45,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
630,1,no_info,7191,15,5,2019,1,30,15,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
135,0,no_info,3687,24,5,2019,9,20,7,5,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
625,1,no_info,5894,24,6,2019,21,0,10,35,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
170,0,no_info,5403,24,4,2019,12,35,9,45,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
90,0,no_info,3625,6,5,2019,15,25,13,55,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
800,2,no_info,10861,21,5,2019,19,15,5,55,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
135,0,no_info,6297,12,3,2019,15,35,13,20,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
85,0,no_info,5678,1,6,2019,8,30,7,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
1590,1,other,9134,9,3,2019,8,15,5,45,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
440,1,other,10791,24,6,2019,19,0,11,40,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
810,2,no_info,12819,24,6,2019,12,35,23,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
300,1,no_info,6893,21,3,2019,10,5,5,5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
165,0,no_info,7240,9,3,2019,12,35,9,50,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
170,0,no_info,3898,3,4,2019,14,30,11,40,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
90,0,no_info,4049,3,4,2019,7,55,6,25,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
1145,1,other,10262,15,6,2019,12,35,17,30,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
135,0,other,3332,21,3,2019,10,35,8,20,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
890,1,other,10844,9,6,2019,12,0,21,10,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
160,0,no_info,7229,24,3,2019,22,35,19,55,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1330,1,no_info,13941,6,5,2019,4,40,6,30,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
575,1,no_info,5894,27,6,2019,21,0,11,25,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
600,1,no_info,10197,18,5,2019,19,0,9,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1280,1,other,13712,6,3,2019,11,25,14,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
325,1,no_info,5636,24,6,2019,7,25,2,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1125,2,no_info,13014,6,6,2019,4,25,9,40,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
740,1,other,7064,1,4,2019,20,45,8,25,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1080,1,other,10703,24,5,2019,14,25,20,25,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
555,1,no_info,9646,27,5,2019,22,30,13,15,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
665,1,no_info,17057,6,3,2019,13,20,2,15,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1050,1,no_info,13817,12,3,2019,10,25,16,55,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
800,2,no_info,13748,6,3,2019,19,15,5,55,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
155,0,no_info,4880,21,4,2019,23,20,20,45,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
145,0,no_info,3540,21,6,2019,7,40,5,15,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
160,0,other,3257,15,5,2019,8,35,5,55,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
180,0,other,6478,3,6,2019,22,50,19,50,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
85,0,no_info,8040,18,6,2019,8,30,7,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
995,2,no_info,14300,12,6,2019,12,35,20,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
740,1,no_info,14781,15,5,2019,20,45,8,25,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
735,1,no_info,14939,9,6,2019,8,15,20,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
450,1,other,10262,24,6,2019,4,25,20,55,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1440,1,no_info,6528,12,5,2019,14,35,14,35,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
165,0,no_info,6121,1,5,2019,8,55,6,10,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
535,2,other,13029,18,5,2019,4,25,19,30,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
430,1,no_info,11421,27,3,2019,18,50,11,40,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
870,1,no_info,7574,27,3,2019,19,15,4,45,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1820,2,no_info,11596,9,5,2019,19,15,12,55,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1195,2,no_info,15129,24,5,2019,19,0,23,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
900,1,no_info,13555,18,3,2019,5,5,14,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
175,0,no_info,5780,12,4,2019,21,50,18,55,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
765,1,no_info,9397,12,5,2019,9,5,20,20,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
610,1,no_info,17024,6,3,2019,4,25,18,15,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
355,1,no_info,5281,27,6,2019,12,55,7,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
925,1,no_info,10348,18,5,2019,22,30,7,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
965,1,no_info,12677,6,3,2019,9,25,17,20,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
610,1,no_info,15147,3,3,2019,1,35,15,25,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
160,0,no_info,4668,12,6,2019,9,40,7,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
715,1,no_info,15554,9,5,2019,19,0,7,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
160,0,no_info,3971,9,4,2019,8,35,5,55,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
85,0,no_info,3100,3,5,2019,16,25,15,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
845,1,other,9663,6,5,2019,10,5,20,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1215,1,no_info,27430,1,3,2019,19,15,23,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
145,0,no_info,3540,12,5,2019,7,40,5,15,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1390,2,no_info,10676,21,5,2019,11,10,12,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1090,1,no_info,13044,12,6,2019,8,15,14,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
960,1,no_info,14388,6,5,2019,12,0,20,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
170,0,no_info,3943,24,6,2019,6,50,4,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
140,0,no_info,3597,3,6,2019,17,5,14,45,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
480,1,no_info,5932,21,3,2019,19,50,11,50,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1015,1,other,10262,15,6,2019,4,25,11,30,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
190,0,no_info,6216,12,5,2019,17,50,14,40,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
165,0,no_info,4804,15,6,2019,23,10,20,25,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
840,1,no_info,14067,21,5,2019,1,30,11,30,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1430,2,no_info,15129,18,5,2019,19,0,19,10,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1300,2,no_info,13376,6,6,2019,4,25,6,45,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1275,2,no_info,10441,27,6,2019,19,15,22,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
165,0,other,4030,24,5,2019,8,45,6,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
650,1,no_info,17024,3,3,2019,18,50,8,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
480,1,no_info,13017,9,4,2019,1,30,17,30,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
495,1,no_info,6686,6,6,2019,7,45,23,30,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
325,1,no_info,5636,15,6,2019,7,25,2,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
515,1,no_info,6442,9,6,2019,16,10,7,35,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
710,1,no_info,9486,21,5,2019,0,55,13,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1655,1,other,10844,21,5,2019,23,35,20,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
505,2,other,15318,3,6,2019,4,25,20,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1255,1,no_info,5117,3,4,2019,9,25,12,30,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
290,1,no_info,6147,24,6,2019,20,0,15,10,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
490,1,no_info,7005,9,6,2019,21,0,12,50,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
140,0,no_info,3873,3,4,2019,0,40,22,20,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
1465,2,other,9270,21,3,2019,18,50,18,25,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
170,0,no_info,3898,27,6,2019,14,30,11,40,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
740,1,no_info,14781,12,5,2019,20,45,8,25,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
735,1,other,8586,24,5,2019,8,15,20,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1415,2,no_info,10697,9,5,2019,7,55,8,20,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
995,2,no_info,14300,27,6,2019,12,35,20,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
170,0,no_info,8855,3,3,2019,21,45,18,55,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1545,1,other,10844,12,5,2019,18,15,16,30,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1570,1,no_info,17024,6,3,2019,4,25,2,15,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1730,1,other,9314,1,5,2019,14,25,9,35,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
165,0,no_info,4777,24,3,2019,3,25,0,40,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1515,1,no_info,7662,9,6,2019,13,15,12,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
560,1,no_info,6442,9,5,2019,16,10,6,50,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
270,1,no_info,5264,12,6,2019,13,15,8,45,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
925,1,other,12898,27,5,2019,4,25,13,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
90,0,no_info,6092,3,3,2019,15,25,13,55,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
160,0,no_info,3311,21,5,2019,8,35,5,55,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
550,1,other,6540,27,3,2019,4,25,19,15,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
165,0,no_info,3419,27,5,2019,4,15,1,30,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1355,1,other,5177,3,4,2019,12,35,14,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
185,0,no_info,8246,18,4,2019,21,10,18,5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
690,1,no_info,14676,9,6,2019,21,5,9,35,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
570,1,no_info,13587,27,6,2019,21,0,11,30,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
730,1,other,9663,6,5,2019,9,20,21,10,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1055,1,no_info,13044,12,6,2019,10,5,16,30,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
305,1,no_info,5073,3,4,2019,1,30,20,25,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1550,1,no_info,9345,21,5,2019,18,50,17,0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1200,1,other,9663,6,5,2019,10,5,14,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
780,1,no_info,14277,21,5,2019,21,0,8,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1105,1,other,10262,1,6,2019,4,25,10,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
90,0,no_info,5678,27,3,2019,21,5,19,35,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
570,1,no_info,13727,15,5,2019,1,30,16,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
960,1,other,9663,6,5,2019,12,0,20,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
140,0,no_info,3858,12,5,2019,17,5,14,45,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
270,1,no_info,4812,24,6,2019,13,15,8,45,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
345,1,no_info,5775,27,6,2019,3,35,21,50,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1450,1,other,10539,6,6,2019,9,45,9,35,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
155,0,no_info,4804,3,6,2019,18,5,15,30,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
165,0,no_info,3383,12,6,2019,13,55,11,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
295,1,no_info,8738,3,3,2019,17,5,12,10,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1535,1,no_info,7165,27,3,2019,6,50,5,15,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
380,1,no_info,6412,24,6,2019,22,30,16,10,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
185,0,no_info,8016,27,6,2019,22,0,18,55,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1120,1,other,11087,12,3,2019,15,15,20,35,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
135,0,other,3543,27,6,2019,12,0,9,45,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
730,1,no_info,12471,12,6,2019,4,40,16,30,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1165,1,other,10262,24,6,2019,4,25,9,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
170,0,no_info,4441,18,3,2019,16,10,13,20,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
505,1,no_info,12537,27,3,2019,15,30,7,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
555,1,no_info,10091,24,3,2019,7,40,22,25,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
170,0,no_info,6961,3,6,2019,23,55,21,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
195,0,no_info,5013,24,4,2019,8,50,5,35,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
170,0,no_info,6934,18,5,2019,8,0,5,10,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
